Country or region,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Score,Perceptions of corruption,Year
Bahrain,10.67638016,0.876342118,68.5,0.905855775,0.13372919,6.227300167,0.7393471,2020
Lithuania,10.34362602,0.926107109,67.29407501,0.747381449,-0.219725296,6.215499878,0.809583843,2020
Trinidad and Tobago,10.26000214,0.91529417,63.5,0.857907116,0.000526841,6.191899776,0.912230611,2020
Poland,10.26512432,0.874257445,69.31113434,0.862055779,-0.205084071,6.186299801,0.686927021,2020
Colombia,9.500369072,0.884440243,67.69958496,0.836179912,-0.161235645,6.163400173,0.86457181,2020
Cyprus,10.40570259,0.805996239,73.70222473,0.779858291,0.043731496,6.15899992,0.856271744,2020
Nicaragua,8.493160248,0.857497036,67.50717926,0.863902867,0.020959141,6.13710022,0.665950119,2020
Romania,10.107584,0.825161517,67.20723724,0.842823207,-0.19781521,6.123700142,0.934300244,2020
Kuwait,11.08982468,0.846475244,66.76764679,0.872366488,-0.100184701,6.102099895,0.760849059,2020
Mauritius,9.956786156,0.910357833,66.40434265,0.889534533,-0.018318573,6.101299763,0.805343091,2020
Kazakhstan,10.11465836,0.934744895,64.60996246,0.811601937,-0.068488635,6.057899952,0.764490843,2020
Estonia,10.34001732,0.934729993,68.60495758,0.87770915,-0.111697771,6.021800041,0.623073816,2020
Philippines,8.993545532,0.846730053,61.92676163,0.915463448,-0.105463006,6.006000042,0.733634114,2020
Hungary,10.24924374,0.921934128,67.60997009,0.718964577,-0.194323018,6.000400066,0.892916501,2020
Thailand,9.741791725,0.889973223,67.25059509,0.905063033,0.268685192,5.998799801,0.886272311,2020
Argentina,9.810955048,0.900567949,68.80380249,0.831132412,-0.194913864,5.974699974,0.842009842,2020
Honduras,8.424534798,0.821870148,67.19876862,0.870603263,0.086969115,5.953199863,0.801131904,2020
Latvia,10.17531967,0.918288589,66.8074646,0.671237648,-0.186888844,5.949999809,0.795580089,2020
Ecuador,9.246058464,0.836418986,68.50003815,0.859828949,-0.127014965,5.925199986,0.801215112,2020
Portugal,10.26374245,0.886590719,72.40202332,0.888747811,-0.220714301,5.910900116,0.892629504,2020
